wrinkle,tone,elasticity,moisture,skinage
54 ,50 ,55 ,60 ,39 
77 ,66 ,71 ,68 ,16 
52 ,59 ,53 ,48 ,38 
49 ,48 ,39 ,51 ,52 
69 ,57 ,55 ,71 ,28 
28 ,25 ,34 ,34 ,76 
55 ,56 ,55 ,67 ,43 
24 ,31 ,27 ,23 ,71 
48 ,41 ,45 ,43 ,49 
16 ,30 ,22 ,19 ,67 
21 ,28 ,37 ,20 ,72 
38 ,39 ,34 ,35 ,62 
75 ,71 ,68 ,76 ,17 
56 ,55 ,56 ,55 ,41 
61 ,64 ,65 ,68 ,30 
74 ,77 ,80 ,76 ,22 
32 ,33 ,30 ,34 ,57 
31 ,32 ,36 ,26 ,56 
55 ,57 ,57 ,53 ,41 
52 ,55 ,49 ,53 ,37 
47 ,51 ,46 ,45 ,52 
32 ,34 ,29 ,35 ,58 
76 ,61 ,66 ,75 ,14 
57 ,49 ,49 ,54 ,37 
55 ,59 ,51 ,64 ,42 
60 ,55 ,53 ,60 ,42 
68 ,62 ,62 ,63 ,29 
61 ,46 ,52 ,56 ,39 
78 ,69 ,76 ,71 ,19 
39 ,43 ,40 ,52 ,48 
41 ,46 ,49 ,49 ,51 
33 ,29 ,35 ,28 ,56 
21 ,12 ,26 ,20 ,65 
31 ,29 ,40 ,39 ,60 
47 ,44 ,44 ,46 ,50 
41 ,31 ,31 ,27 ,58 
87 ,68 ,79 ,75 ,22 
84 ,79 ,71 ,81 ,24 
63 ,67 ,74 ,66 ,32 
47 ,49 ,41 ,40 ,49 
48 ,50 ,43 ,47 ,52 
72 ,69 ,78 ,67 ,17 
25 ,40 ,34 ,34 ,58 
45 ,47 ,51 ,47 ,53 
76 ,72 ,73 ,77 ,19 
79 ,70 ,74 ,79 ,21 
34 ,35 ,40 ,37 ,62 
41 ,41 ,48 ,43 ,48 
49 ,37 ,43 ,46 ,49 
30 ,25 ,27 ,26 ,72 
73 ,68 ,70 ,76 ,17 
70 ,73 ,81 ,79 ,21 
19 ,19 ,31 ,21 ,68 
33 ,25 ,24 ,23 ,71 
67 ,70 ,64 ,65 ,32 
43 ,41 ,40 ,35 ,45 
38 ,39 ,43 ,36 ,64 
30 ,45 ,36 ,44 ,64 
34 ,32 ,34 ,39 ,60 
32 ,38 ,41 ,33 ,61 
67 ,69 ,79 ,62 ,14 
64 ,78 ,75 ,78 ,19 
44 ,45 ,38 ,41 ,47 
49 ,50 ,42 ,39 ,50 
48 ,53 ,54 ,53 ,37 
36 ,38 ,33 ,38 ,61 
62 ,61 ,57 ,53 ,43 
49 ,40 ,46 ,46 ,50 
27 ,19 ,22 ,26 ,68 
20 ,23 ,25 ,27 ,69 
58 ,64 ,63 ,60 ,26 
32 ,29 ,30 ,41 ,58 
60 ,57 ,53 ,55 ,41 
68 ,69 ,69 ,71 ,34 
26 ,41 ,24 ,31 ,55 
40 ,30 ,26 ,33 ,57 
37 ,25 ,37 ,33 ,58 
43 ,39 ,38 ,35 ,64 
57 ,54 ,52 ,50 ,38 
39 ,46 ,46 ,45 ,49 
61 ,60 ,69 ,59 ,27 
38 ,42 ,42 ,51 ,48 
78 ,72 ,84 ,77 ,23 
56 ,47 ,50 ,49 ,35 
53 ,60 ,51 ,62 ,42 
50 ,38 ,37 ,47 ,48 
39 ,23 ,36 ,38 ,59 
46 ,49 ,59 ,56 ,38 
60 ,48 ,53 ,55 ,39 
15 ,30 ,26 ,28 ,69 
56 ,58 ,55 ,65 ,44 
49 ,51 ,64 ,58 ,40 
21 ,13 ,24 ,29 ,67 
55 ,40 ,61 ,53 ,37 
50 ,43 ,57 ,60 ,38 
38 ,51 ,47 ,43 ,50 
19 ,31 ,34 ,33 ,74 
54 ,53 ,55 ,56 ,40 
50 ,44 ,43 ,45 ,50 
80 ,82 ,82 ,72 ,24 
54 ,54 ,58 ,47 ,38 
38 ,48 ,45 ,45 ,49 
43 ,55 ,45 ,38 ,50 
25 ,22 ,26 ,20 ,68 
47 ,58 ,57 ,68 ,42 
27 ,25 ,25 ,19 ,69 
19 ,30 ,22 ,39 ,73 
20 ,24 ,19 ,21 ,66 
21 ,22 ,30 ,33 ,71 
32 ,40 ,31 ,45 ,62 
70 ,74 ,77 ,70 ,18 
57 ,54 ,49 ,57 ,39 
34 ,48 ,38 ,48 ,47 
16 ,27 ,20 ,21 ,66 
62 ,46 ,50 ,62 ,40 
48 ,57 ,51 ,50 ,56 
83 ,70 ,75 ,73 ,20 
55 ,65 ,58 ,74 ,28 
37 ,28 ,21 ,27 ,73 
53 ,56 ,59 ,59 ,42 
57 ,53 ,45 ,57 ,38 
45 ,48 ,39 ,41 ,48 
34 ,28 ,35 ,38 ,59 
31 ,38 ,37 ,34 ,60 
44 ,40 ,57 ,40 ,50 
26 ,30 ,20 ,34 ,72 
53 ,49 ,44 ,41 ,52 
68 ,79 ,76 ,88 ,23 
53 ,49 ,54 ,59 ,39 
31 ,49 ,44 ,48 ,48 
57 ,49 ,60 ,58 ,41 
63 ,64 ,67 ,57 ,28 
55 ,58 ,57 ,52 ,41 
29 ,40 ,32 ,35 ,59 
58 ,76 ,63 ,61 ,29 
17 ,35 ,17 ,19 ,67 
37 ,35 ,35 ,25 ,58 
47 ,46 ,47 ,46 ,52 
59 ,57 ,49 ,46 ,38 
23 ,37 ,36 ,37 ,58 
41 ,46 ,39 ,45 ,48 
49 ,55 ,53 ,61 ,40 
56 ,63 ,53 ,48 ,40 
29 ,34 ,45 ,40 ,62 
44 ,40 ,47 ,50 ,50 
28 ,42 ,28 ,35 ,59 
68 ,72 ,72 ,73 ,16 
70 ,73 ,74 ,76 ,19 
72 ,74 ,76 ,75 ,19 
26 ,23 ,24 ,25 ,69 
36 ,26 ,28 ,29 ,75 
55 ,51 ,63 ,61 ,42 
44 ,40 ,55 ,46 ,51 
75 ,68 ,68 ,88 ,20 
27 ,27 ,27 ,18 ,70 
60 ,63 ,66 ,71 ,30 
59 ,59 ,60 ,47 ,41 
67 ,68 ,76 ,62 ,13 
67 ,59 ,66 ,52 ,26 
60 ,63 ,68 ,65 ,29 
87 ,72 ,73 ,72 ,21 
70 ,77 ,79 ,69 ,19 
60 ,55 ,49 ,63 ,42 
70 ,73 ,71 ,60 ,33 
26 ,18 ,20 ,34 ,70 
72 ,59 ,71 ,64 ,31 
38 ,31 ,35 ,33 ,59 
22 ,24 ,14 ,29 ,67 
71 ,64 ,70 ,62 ,32 
28 ,22 ,19 ,21 ,67 
46 ,24 ,42 ,35 ,62 
79 ,81 ,68 ,68 ,19 
61 ,60 ,63 ,70 ,28 
48 ,51 ,42 ,50 ,53 
53 ,60 ,49 ,51 ,38 
32 ,29 ,40 ,43 ,61 
21 ,27 ,19 ,22 ,67 
71 ,65 ,63 ,64 ,31 
65 ,72 ,72 ,74 ,16 
76 ,76 ,72 ,72 ,19 
38 ,27 ,31 ,34 ,58 
33 ,20 ,26 ,17 ,69 
29 ,29 ,28 ,32 ,74 
52 ,54 ,59 ,46 ,38 
80 ,84 ,72 ,67 ,21 
28 ,24 ,21 ,22 ,69 
22 ,26 ,29 ,17 ,68 
25 ,26 ,26 ,26 ,71 
43 ,38 ,42 ,32 ,64 
23 ,25 ,24 ,21 ,68 
44 ,46 ,38 ,41 ,47 
76 ,75 ,82 ,79 ,23 
73 ,57 ,56 ,66 ,28 
20 ,25 ,18 ,19 ,65 
81 ,82 ,70 ,70 ,21 
46 ,54 ,54 ,50 ,36 
54 ,59 ,58 ,57 ,42 
46 ,55 ,63 ,65 ,42 
33 ,33 ,32 ,37 ,79 
40 ,39 ,50 ,42 ,48 
43 ,47 ,55 ,45 ,52 
52 ,56 ,57 ,51 ,39 
47 ,48 ,43 ,45 ,51 
62 ,63 ,55 ,55 ,24 
47 ,48 ,45 ,40 ,50 
31 ,33 ,29 ,26 ,75 
58 ,51 ,62 ,52 ,41 
55 ,66 ,52 ,61 ,43 
50 ,55 ,48 ,45 ,54 
28 ,40 ,25 ,28 ,75 
79 ,71 ,77 ,77 ,21 
32 ,39 ,44 ,39 ,64 
35 ,26 ,24 ,25 ,72 
43 ,51 ,41 ,48 ,51 
33 ,33 ,45 ,33 ,61 
70 ,77 ,81 ,82 ,22 
30 ,41 ,35 ,43 ,62 
18 ,30 ,26 ,25 ,70 
78 ,65 ,59 ,62 ,31 
78 ,66 ,77 ,80 ,20 
72 ,69 ,65 ,66 ,13 
46 ,57 ,60 ,60 ,41 
33 ,32 ,30 ,35 ,58 
80 ,73 ,80 ,79 ,23 
36 ,27 ,27 ,26 ,74 
67 ,65 ,64 ,65 ,30 
68 ,67 ,68 ,66 ,32 
82 ,74 ,82 ,81 ,25 
29 ,25 ,25 ,23 ,71 
34 ,30 ,34 ,37 ,59 
70 ,67 ,69 ,75 ,35 
35 ,42 ,39 ,33 ,62 
70 ,57 ,70 ,69 ,32 
49 ,38 ,46 ,38 ,48 
37 ,26 ,37 ,43 ,61 
22 ,25 ,26 ,26 ,70 
77 ,89 ,73 ,75 ,24 
26 ,29 ,33 ,29 ,74 
65 ,56 ,70 ,75 ,32 
81 ,75 ,71 ,65 ,18 
58 ,60 ,60 ,63 ,25 
57 ,49 ,55 ,64 ,41 
26 ,22 ,23 ,22 ,68 
56 ,63 ,50 ,53 ,41 
37 ,43 ,30 ,36 ,61 
56 ,55 ,51 ,54 ,39 
56 ,58 ,58 ,48 ,40 
42 ,40 ,43 ,46 ,48 
73 ,72 ,70 ,72 ,17 
76 ,81 ,74 ,68 ,20 
59 ,55 ,62 ,57 ,23 
53 ,67 ,72 ,66 ,29 
64 ,66 ,66 ,65 ,30 
49 ,51 ,57 ,63 ,40 
74 ,75 ,81 ,79 ,22 
75 ,66 ,55 ,68 ,31 
60 ,70 ,64 ,63 ,29 
58 ,62 ,65 ,79 ,31 
51 ,42 ,50 ,48 ,53 
26 ,25 ,28 ,34 ,53 
77 ,73 ,77 ,79 ,22 
27 ,33 ,30 ,21 ,73 
33 ,31 ,32 ,39 ,59 
54 ,47 ,57 ,53 ,38 
55 ,52 ,57 ,56 ,40 
75 ,73 ,66 ,66 ,35 
45 ,35 ,47 ,44 ,48 
27 ,39 ,31 ,31 ,57 
71 ,62 ,58 ,63 ,28 
46 ,43 ,45 ,51 ,51 
21 ,32 ,26 ,20 ,70 
70 ,64 ,77 ,66 ,34 
42 ,36 ,44 ,48 ,48 
43 ,35 ,37 ,39 ,63 
73 ,68 ,88 ,74 ,21 
45 ,48 ,43 ,42 ,50 
76 ,85 ,87 ,77 ,26 
55 ,60 ,53 ,54 ,40 
47 ,45 ,46 ,47 ,51 
34 ,34 ,37 ,36 ,60 
64 ,56 ,46 ,53 ,40 
78 ,71 ,82 ,80 ,23 
23 ,30 ,35 ,25 ,73 
49 ,47 ,48 ,50 ,54 
37 ,34 ,44 ,40 ,63 
42 ,38 ,43 ,40 ,46 
29 ,21 ,18 ,18 ,66 
79 ,73 ,79 ,65 ,19 
55 ,50 ,43 ,45 ,53 
29 ,29 ,25 ,36 ,55 
67 ,69 ,58 ,67 ,30 
42 ,32 ,40 ,34 ,62 
76 ,62 ,69 ,76 ,36 
43 ,49 ,54 ,43 ,52 
24 ,28 ,20 ,29 ,70 
31 ,39 ,42 ,26 ,60 
42 ,35 ,36 ,32 ,61 
30 ,23 ,19 ,27 ,70 
76 ,74 ,79 ,71 ,20 
65 ,64 ,65 ,74 ,32 
48 ,51 ,56 ,65 ,40 
38 ,29 ,33 ,33 ,58 
28 ,35 ,44 ,36 ,61 
51 ,65 ,65 ,59 ,25 
17 ,24 ,23 ,20 ,66 
33 ,20 ,38 ,35 ,76 
82 ,82 ,69 ,80 ,23 
33 ,32 ,40 ,34 ,60 
64 ,57 ,59 ,58 ,24 
42 ,36 ,40 ,41 ,65 
47 ,43 ,44 ,40 ,49 
45 ,46 ,38 ,49 ,49 
41 ,48 ,49 ,48 ,51 
39 ,42 ,51 ,53 ,51 
32 ,35 ,38 ,33 ,59 
51 ,52 ,55 ,54 ,38 
59 ,51 ,59 ,61 ,43 
49 ,49 ,52 ,51 ,35 
75 ,80 ,79 ,78 ,23 
52 ,48 ,46 ,40 ,51 
77 ,81 ,77 ,74 ,22 
46 ,57 ,56 ,58 ,39 
75 ,82 ,86 ,79 ,25 
52 ,44 ,38 ,50 ,51 
25 ,18 ,29 ,22 ,68 
77 ,76 ,76 ,75 ,21 
47 ,55 ,50 ,52 ,36 
76 ,76 ,82 ,77 ,22 
55 ,59 ,63 ,57 ,43 
69 ,58 ,69 ,67 ,31 
68 ,62 ,70 ,68 ,32 
64 ,58 ,67 ,62 ,28 
49 ,56 ,52 ,52 ,57 
36 ,43 ,35 ,27 ,60 
69 ,84 ,79 ,69 ,20 
65 ,69 ,58 ,57 ,27 
43 ,46 ,46 ,45 ,50 
40 ,32 ,36 ,32 ,60 
20 ,16 ,14 ,24 ,64 
38 ,33 ,21 ,31 ,76 
46 ,33 ,45 ,43 ,47 
41 ,25 ,30 ,33 ,57 
70 ,56 ,60 ,69 ,29 
24 ,23 ,33 ,24 ,71 
41 ,45 ,36 ,43 ,46 
21 ,22 ,23 ,23 ,67 
65 ,74 ,73 ,84 ,19 
51 ,50 ,58 ,54 ,38 
56 ,62 ,53 ,48 ,40 
53 ,42 ,48 ,36 ,50 
21 ,23 ,28 ,20 ,68 
56 ,57 ,46 ,50 ,37 
31 ,28 ,33 ,36 ,57 
24 ,30 ,23 ,26 ,71 
66 ,70 ,81 ,73 ,18 
45 ,42 ,44 ,37 ,47 
33 ,35 ,37 ,37 ,61 
19 ,21 ,25 ,13 ,64 
21 ,26 ,20 ,30 ,69 
32 ,23 ,27 ,24 ,72 
25 ,31 ,27 ,18 ,70 
61 ,52 ,59 ,55 ,42 
75 ,72 ,71 ,76 ,18 
59 ,58 ,76 ,67 ,30 
67 ,72 ,78 ,82 ,20 
71 ,69 ,81 ,79 ,20 
47 ,50 ,50 ,47 ,54 
37 ,38 ,32 ,31 ,60 
73 ,68 ,77 ,78 ,19 
54 ,55 ,56 ,54 ,40 
30 ,23 ,20 ,20 ,68 
36 ,37 ,32 ,37 ,60 
66 ,63 ,67 ,68 ,31 
57 ,55 ,59 ,46 ,39 
50 ,48 ,48 ,41 ,52 
58 ,52 ,49 ,57 ,39 
54 ,57 ,56 ,61 ,42 
34 ,33 ,33 ,30 ,57 
34 ,34 ,38 ,47 ,63 
29 ,31 ,28 ,37 ,56 
56 ,47 ,50 ,59 ,38 
53 ,50 ,58 ,59 ,40 
79 ,73 ,76 ,72 ,20 
52 ,45 ,48 ,41 ,52 
28 ,24 ,26 ,25 ,71 
59 ,61 ,44 ,63 ,42 
44 ,41 ,45 ,39 ,47 
38 ,37 ,34 ,37 ,61 
70 ,60 ,69 ,68 ,32 
65 ,70 ,62 ,66 ,31 
45 ,45 ,41 ,42 ,48 
65 ,69 ,64 ,69 ,31 
59 ,57 ,56 ,51 ,41 
76 ,59 ,77 ,66 ,34 
37 ,32 ,36 ,33 ,60 
30 ,25 ,22 ,31 ,72 
74 ,74 ,68 ,64 ,15 
39 ,38 ,43 ,47 ,47 
61 ,56 ,55 ,54 ,42 
26 ,27 ,23 ,27 ,71 
53 ,62 ,65 ,63 ,26 
56 ,64 ,62 ,72 ,29 
37 ,44 ,40 ,35 ,64 
62 ,49 ,61 ,68 ,25 
39 ,44 ,53 ,47 ,51 
40 ,30 ,30 ,33 ,58 
36 ,31 ,38 ,34 ,60 
26 ,26 ,23 ,14 ,67 
31 ,43 ,26 ,33 ,58 
65 ,63 ,68 ,70 ,12 
78 ,70 ,73 ,79 ,20 
60 ,53 ,52 ,52 ,40 
28 ,22 ,24 ,26 ,70 
47 ,45 ,43 ,36 ,48 
31 ,40 ,35 ,38 ,61 
13 ,23 ,32 ,28 ,69 
20 ,24 ,19 ,9 ,63 
50 ,48 ,51 ,39 ,52 
26 ,22 ,13 ,26 ,67 
66 ,62 ,67 ,67 ,31 
72 ,69 ,67 ,67 ,34 
27 ,19 ,21 ,22 ,67 
57 ,54 ,54 ,52 ,39 
55 ,59 ,60 ,54 ,42 
43 ,45 ,44 ,46 ,49 
30 ,28 ,30 ,24 ,53 
76 ,74 ,79 ,70 ,20 
40 ,36 ,38 ,38 ,63 
29 ,28 ,25 ,32 ,74 
40 ,53 ,42 ,54 ,52 
36 ,34 ,34 ,40 ,61 
77 ,75 ,72 ,74 ,20 
63 ,61 ,68 ,66 ,29 
39 ,36 ,29 ,35 ,60 
28 ,24 ,24 ,26 ,70 
71 ,65 ,75 ,66 ,34 
40 ,39 ,45 ,43 ,47 
18 ,24 ,31 ,22 ,69 
57 ,56 ,53 ,56 ,41 
73 ,64 ,62 ,65 ,31 
31 ,38 ,31 ,24 ,56 
41 ,34 ,36 ,33 ,61 
81 ,78 ,74 ,72 ,21 
39 ,47 ,50 ,34 ,47 
21 ,30 ,15 ,31 ,69 
83 ,75 ,75 ,77 ,22 
30 ,37 ,38 ,38 ,61 
81 ,72 ,71 ,72 ,19 
71 ,75 ,64 ,68 ,14 
22 ,20 ,29 ,21 ,68 
44 ,41 ,43 ,43 ,48 
75 ,82 ,79 ,69 ,21 
34 ,44 ,38 ,37 ,63 
28 ,33 ,29 ,29 ,74 
59 ,56 ,69 ,55 ,25 
21 ,29 ,19 ,23 ,68 
31 ,15 ,29 ,29 ,71 
73 ,76 ,75 ,76 ,20 
39 ,41 ,42 ,36 ,65 
25 ,31 ,26 ,23 ,71 
64 ,63 ,63 ,66 ,29 
49 ,55 ,54 ,52 ,37 
46 ,54 ,41 ,47 ,52 
64 ,69 ,63 ,68 ,31 
30 ,33 ,43 ,27 ,58 
77 ,76 ,80 ,76 ,22 
63 ,53 ,69 ,58 ,26 
56 ,53 ,57 ,55 ,40 
49 ,49 ,50 ,45 ,53 
37 ,35 ,32 ,40 ,61 
37 ,37 ,31 ,32 ,59 
23 ,18 ,24 ,17 ,66 
64 ,51 ,50 ,51 ,39 
44 ,45 ,51 ,45 ,51 
75 ,84 ,73 ,69 ,20 
65 ,60 ,61 ,59 ,26 
49 ,43 ,50 ,42 ,51 
30 ,13 ,19 ,34 ,69 
46 ,39 ,46 ,52 ,51 
33 ,34 ,32 ,34 ,58 
52 ,51 ,60 ,54 ,39 
45 ,43 ,50 ,48 ,52 
40 ,37 ,39 ,36 ,43 
24 ,29 ,33 ,26 ,73 
71 ,64 ,60 ,60 ,29 
23 ,23 ,27 ,18 ,68 
37 ,37 ,35 ,34 ,61 
27 ,27 ,20 ,28 ,71 
70 ,71 ,69 ,74 ,16 
39 ,33 ,32 ,34 ,59 
75 ,75 ,81 ,71 ,20 
57 ,58 ,70 ,69 ,29 
33 ,25 ,30 ,31 ,55 
33 ,39 ,45 ,41 ,44 
58 ,49 ,51 ,59 ,39 
43 ,42 ,40 ,59 ,51 
15 ,18 ,20 ,18 ,63 
49 ,46 ,49 ,49 ,53 
71 ,73 ,72 ,70 ,16 
60 ,65 ,76 ,63 ,31 
52 ,40 ,43 ,49 ,51 
49 ,53 ,52 ,47 ,35 
67 ,63 ,66 ,69 ,31 
25 ,33 ,19 ,25 ,71 
20 ,27 ,27 ,24 ,70 
57 ,51 ,63 ,46 ,39 
63 ,53 ,54 ,57 ,42 
29 ,23 ,27 ,21 ,70 
65 ,74 ,68 ,74 ,15 
59 ,58 ,61 ,66 ,46 
27 ,23 ,22 ,17 ,67 
46 ,45 ,40 ,46 ,49 
64 ,60 ,69 ,66 ,30 
52 ,42 ,45 ,44 ,51 
36 ,39 ,25 ,38 ,60 
48 ,60 ,51 ,61 ,40 
26 ,32 ,19 ,22 ,70 
46 ,42 ,50 ,52 ,52 
28 ,37 ,36 ,37 ,60 
28 ,27 ,16 ,27 ,70 
38 ,38 ,38 ,41 ,64 
74 ,79 ,75 ,70 ,19 
79 ,82 ,81 ,74 ,24 
44 ,49 ,35 ,49 ,49 
39 ,42 ,43 ,39 ,66 
24 ,23 ,28 ,26 ,70 
45 ,44 ,38 ,41 ,67 
30 ,26 ,28 ,15 ,70 
42 ,48 ,49 ,38 ,49 
71 ,63 ,68 ,54 ,29 
34 ,27 ,24 ,30 ,74 
34 ,28 ,32 ,31 ,76 
42 ,53 ,46 ,37 ,49 
42 ,44 ,39 ,40 ,46 
59 ,71 ,65 ,62 ,29 
59 ,63 ,63 ,59 ,26 
44 ,43 ,41 ,43 ,48 
56 ,54 ,52 ,54 ,39 
41 ,45 ,50 ,52 ,52 
32 ,40 ,37 ,29 ,59 
54 ,64 ,49 ,49 ,39 
57 ,50 ,60 ,52 ,40 
47 ,43 ,35 ,43 ,47 
53 ,63 ,61 ,56 ,44 
37 ,38 ,35 ,30 ,60 
60 ,55 ,53 ,60 ,42 
20 ,29 ,24 ,36 ,72 
73 ,76 ,79 ,70 ,20 
74 ,78 ,84 ,72 ,22 
28 ,35 ,41 ,47 ,63 
60 ,66 ,63 ,72 ,31 
42 ,33 ,34 ,34 ,61 
70 ,79 ,77 ,81 ,22 
65 ,63 ,75 ,65 ,32 
36 ,36 ,36 ,35 ,61 
72 ,86 ,70 ,83 ,23 
28 ,32 ,48 ,30 ,60 
60 ,59 ,49 ,60 ,42 
54 ,41 ,40 ,46 ,50 
31 ,13 ,32 ,24 ,70 
75 ,78 ,78 ,78 ,22 
51 ,43 ,51 ,42 ,52 
78 ,74 ,78 ,75 ,21 
74 ,69 ,81 ,73 ,19 
48 ,47 ,43 ,52 ,52 
56 ,73 ,65 ,66 ,30 
19 ,18 ,20 ,20 ,64 
74 ,74 ,72 ,78 ,19 
55 ,44 ,49 ,44 ,53 
48 ,47 ,43 ,44 ,50 
75 ,57 ,69 ,68 ,32 
46 ,34 ,39 ,18 ,59 
43 ,38 ,37 ,47 ,46 
40 ,42 ,30 ,37 ,62 
80 ,58 ,66 ,61 ,31 
57 ,58 ,55 ,51 ,40 
34 ,24 ,32 ,30 ,55 
48 ,43 ,46 ,42 ,50 
60 ,62 ,68 ,56 ,27 
28 ,21 ,27 ,29 ,71 
28 ,24 ,25 ,40 ,74 
33 ,31 ,29 ,33 ,57 
70 ,63 ,63 ,60 ,29 
58 ,54 ,57 ,48 ,39 
52 ,64 ,59 ,54 ,42 
54 ,58 ,59 ,58 ,42 
66 ,66 ,63 ,65 ,30 
66 ,64 ,68 ,65 ,31 
39 ,42 ,36 ,29 ,61 
45 ,36 ,33 ,35 ,62 
77 ,77 ,75 ,81 ,23 
57 ,47 ,57 ,38 ,55 
60 ,68 ,62 ,62 ,28 
53 ,45 ,41 ,44 ,51 
51 ,35 ,53 ,48 ,52 
35 ,40 ,28 ,38 ,60 
49 ,51 ,52 ,60 ,38 
32 ,20 ,14 ,27 ,68 
26 ,30 ,27 ,28 ,73 
85 ,73 ,68 ,75 ,20 
42 ,43 ,42 ,48 ,49 
66 ,54 ,49 ,57 ,41 
62 ,61 ,65 ,63 ,28 
54 ,57 ,64 ,50 ,41 
63 ,67 ,57 ,61 ,27 
36 ,35 ,36 ,32 ,60 
38 ,31 ,26 ,32 ,57 
29 ,36 ,32 ,27 ,56 
74 ,75 ,74 ,74 ,19 
68 ,56 ,55 ,75 ,28 
48 ,35 ,45 ,49 ,49 
33 ,38 ,41 ,35 ,62 
27 ,29 ,23 ,22 ,70 
61 ,65 ,61 ,61 ,27 
59 ,65 ,66 ,63 ,28 
60 ,67 ,68 ,67 ,30 
71 ,74 ,75 ,77 ,19 
55 ,55 ,54 ,54 ,39 
44 ,44 ,33 ,42 ,46 
43 ,51 ,35 ,33 ,46 
52 ,62 ,57 ,54 ,41 
31 ,31 ,43 ,36 ,60 
48 ,48 ,44 ,53 ,53 
46 ,44 ,48 ,45 ,51 
51 ,54 ,63 ,48 ,39 
19 ,28 ,15 ,27 ,67 
66 ,55 ,60 ,57 ,24 
47 ,43 ,49 ,47 ,51 
32 ,37 ,32 ,30 ,58 
34 ,35 ,36 ,40 ,61 
22 ,27 ,25 ,25 ,70 
41 ,46 ,50 ,48 ,51 
28 ,39 ,37 ,37 ,60 
27 ,28 ,34 ,31 ,55 
36 ,44 ,35 ,40 ,64 
73 ,78 ,68 ,81 ,20 
64 ,67 ,66 ,69 ,31 
71 ,66 ,63 ,75 ,34 
33 ,38 ,33 ,26 ,57 
57 ,55 ,54 ,44 ,37 
81 ,77 ,74 ,77 ,22 
44 ,41 ,57 ,47 ,52 
33 ,35 ,41 ,30 ,60 
31 ,34 ,38 ,29 ,58 
24 ,25 ,20 ,24 ,69 
60 ,65 ,60 ,56 ,45 
76 ,71 ,75 ,83 ,21 
23 ,24 ,31 ,26 ,71 
63 ,65 ,67 ,71 ,31 
37 ,49 ,41 ,43 ,48 
20 ,28 ,29 ,14 ,68 
75 ,74 ,72 ,77 ,19 
64 ,56 ,63 ,47 ,43 
65 ,62 ,50 ,56 ,43 
60 ,58 ,59 ,48 ,41 
55 ,59 ,67 ,51 ,43 
48 ,53 ,51 ,44 ,54 
61 ,62 ,49 ,49 ,40 
58 ,65 ,67 ,63 ,28 
50 ,53 ,61 ,49 ,38 
67 ,63 ,66 ,66 ,30 
48 ,27 ,44 ,49 ,47 
25 ,30 ,26 ,25 ,72 
56 ,55 ,55 ,53 ,40 
31 ,36 ,33 ,38 ,59 
78 ,71 ,69 ,77 ,19 
75 ,77 ,66 ,63 ,35 
60 ,65 ,71 ,72 ,32 
72 ,61 ,64 ,60 ,29 
61 ,48 ,63 ,65 ,24 
76 ,69 ,82 ,79 ,22 
30 ,33 ,31 ,38 ,58 
39 ,33 ,34 ,32 ,59 
76 ,82 ,78 ,75 ,23 
53 ,58 ,60 ,61 ,43 
64 ,65 ,61 ,66 ,29 
37 ,41 ,39 ,48 ,46 
47 ,46 ,50 ,51 ,54 
28 ,17 ,25 ,23 ,68 
72 ,79 ,71 ,71 ,18 
57 ,58 ,57 ,48 ,40 
27 ,24 ,22 ,27 ,70 
21 ,21 ,22 ,26 ,67 
79 ,80 ,71 ,74 ,21 
29 ,27 ,18 ,25 ,70 
55 ,55 ,64 ,52 ,41 
72 ,67 ,76 ,84 ,20 
26 ,21 ,27 ,20 ,69 
40 ,48 ,42 ,39 ,47 
37 ,32 ,39 ,32 ,60 
75 ,68 ,74 ,78 ,19 
69 ,79 ,61 ,59 ,32 
64 ,67 ,71 ,72 ,33 
75 ,81 ,87 ,72 ,24 
28 ,37 ,20 ,22 ,72 
43 ,37 ,43 ,46 ,47 
49 ,39 ,45 ,38 ,48 
41 ,47 ,45 ,42 ,49 
18 ,18 ,25 ,18 ,65 
78 ,74 ,77 ,76 ,21 
51 ,53 ,48 ,44 ,54 
72 ,62 ,63 ,72 ,32 
61 ,50 ,57 ,55 ,41 
23 ,18 ,25 ,33 ,70 
67 ,58 ,68 ,56 ,27 
75 ,79 ,72 ,63 ,37 
48 ,52 ,34 ,50 ,51 
59 ,58 ,73 ,71 ,30 
70 ,71 ,67 ,66 ,33 
64 ,70 ,84 ,71 ,18 
67 ,71 ,77 ,75 ,17 
57 ,56 ,55 ,57 ,41 
78 ,74 ,80 ,75 ,22 
33 ,35 ,39 ,30 ,59 
34 ,36 ,37 ,30 ,59 
37 ,39 ,38 ,31 ,61 
64 ,73 ,67 ,69 ,33 
50 ,57 ,52 ,55 ,39 
77 ,67 ,75 ,72 ,18 
24 ,18 ,22 ,22 ,67 
75 ,76 ,71 ,73 ,19 
63 ,66 ,67 ,63 ,30 
48 ,44 ,54 ,46 ,53 
79 ,75 ,71 ,72 ,19 
82 ,73 ,73 ,72 ,20 
65 ,60 ,79 ,70 ,33 
57 ,64 ,69 ,71 ,30 
45 ,47 ,40 ,44 ,49 
57 ,57 ,57 ,52 ,41 
42 ,48 ,42 ,43 ,49 
63 ,51 ,54 ,58 ,42 
22 ,27 ,17 ,31 ,69 
77 ,70 ,65 ,80 ,18 
38 ,44 ,48 ,45 ,49 
63 ,70 ,59 ,70 ,31 
